sample,lang,reference,variant,seconds,http_attempts,detected,error,err,sub,del,ins,ref_units,cue_start_median_ms,cue_start_p90_ms,cue_start_gt1s_pct,tokens_in_silence,numbers_found_pct,sentence_end_pct
private_long_1,en,old-WhisperX-srt,local,178.9,0,en,,0.26,9,11,17,14266,4,15,0.2,0,100,7.7
private_long_1,en,old-WhisperX-srt,mai_clean,549.0,3,en,,1.35,71,39,82,14266,26,66,0.5,0,85,6.5
private_long_2,en,old-WhisperX-srt,local,188.5,0,en,,0.34,19,17,14,14624,3,15,0.2,0,100,7.1
private_long_2,en,old-WhisperX-srt,mai_clean,135.3,4,en,,1.6,78,49,107,14624,27,72,0.5,2,100,6.1
private_long_3,en,old-WhisperX-srt,local,201.9,0,en,,0.91,40,43,52,14900,3,15,0.2,0,100,5.7
private_long_3,en,old-WhisperX-srt,mai_clean,97.7,3,en,,2.71,153,70,181,14900,29,79,0.5,1,93,5.1
en_podcast_tarlov,en,manual-subtitle,local,72.1,0,en,,9.35,74,291,73,4683,245,409,3.4,2,92,8.3
en_podcast_tarlov,en,manual-subtitle,local_turbo,85.9,0,en,,41.21,731,793,406,4683,252,1103,10.5,9,62,6.6
en_podcast_tarlov,en,manual-subtitle,mai_auto,27.2,1,en,,7.37,71,117,157,4683,238,359,0.9,1,100,8.8
en_podcast_tarlov,en,manual-subtitle,mai_clean,43.1,1,en,,7.28,67,118,156,4683,238,359,0.9,1,100,8.9
en_podcast_tarlov,en,manual-subtitle,mai_verbatim,47.9,1,en,,7.62,71,108,178,4683,238,359,0.8,1,100,9.1
en_street_future,en,manual-subtitle,local,19.1,0,en,,8.97,35,36,10,903,288,949,9.3,0,100,12.1
en_street_future,en,manual-subtitle,local_turbo,13.2,0,en,,17.39,29,118,10,903,316,896,7.6,0,100,11.2
en_street_future,en,manual-subtitle,mai_auto,16.5,1,en,,6.42,22,17,19,903,270,838,5.4,0,100,11.9
en_street_future,en,manual-subtitle,mai_clean,7.9,1,en,,6.42,22,17,19,903,270,838,5.4,0,100,12.0
en_street_future,en,manual-subtitle,mai_verbatim,17.7,1,en,,6.76,22,17,22,903,270,838,5.4,0,100,11.8
en_street_meaning,en,manual-subtitle,local,19.1,0,en,,12.75,53,59,17,1012,131,607,4.1,0,100,11.0
en_street_meaning,en,manual-subtitle,local_turbo,14.3,0,en,,32.11,133,171,21,1012,144,903,8.5,0,100,10.5
en_street_meaning,en,manual-subtitle,mai_auto,8.4,1,en,,11.26,51,36,27,1012,140,632,4.9,0,100,10.3
en_street_meaning,en,manual-subtitle,mai_clean,8.1,1,en,,11.07,50,35,27,1012,140,632,4.9,0,100,10.4
en_street_meaning,en,manual-subtitle,mai_verbatim,8.6,1,en,,11.36,55,27,33,1012,140,632,4.9,0,100,10.5
en_ted_sleep,en,manual-subtitle,local,41.9,0,en,,1.62,17,14,12,2653,12067,12139,100.0,21,100,6.4
en_ted_sleep,en,manual-subtitle,local_turbo,32.9,0,en,,51.56,261,244,863,2653,12060,12235,99.6,16,90,6.5
en_ted_sleep,en,manual-subtitle,mai_auto,18.7,1,en,,2.68,22,19,30,2653,12047,12173,100.0,21,100,5.8
en_ted_sleep,en,manual-subtitle,mai_clean,185.7,1,en,,2.71,23,19,30,2653,12047,12173,100.0,21,100,5.8
en_ted_sleep,en,manual-subtitle,mai_verbatim,23.3,1,en,,2.07,24,18,13,2653,12047,12166,100.0,21,100,5.7
ja_tedx_elephant,ja,manual-subtitle,local,84.4,0,ja,,8.31,167,130,58,4273,30,138,0.0,0,11,0.0
ja_tedx_elephant,ja,manual-subtitle,local_turbo,34.2,0,ja,,72.34,1684,1172,235,4273,33,181,5.4,0,11,0.8
ja_tedx_elephant,ja,manual-subtitle,mai_auto,23.0,1,ja,,7.37,165,111,39,4273,34,150,4.1,0,56,3.6
ja_tedx_elephant,ja,manual-subtitle,mai_clean,34.8,1,ja,,7.35,164,111,39,4273,34,150,4.1,0,56,3.6
ja_tedx_elephant,ja,manual-subtitle,mai_verbatim,20.1,1,ja,,7.21,157,116,35,4273,34,150,4.1,0,56,3.7
ja_tedx_words,ja,manual-subtitle,local,57.9,0,ja,,10.93,258,268,200,6642,121,289,0.0,0,0,0.1
ja_tedx_words,ja,manual-subtitle,local_turbo,40.8,0,ja,,66.76,2684,963,787,6642,125,317,2.0,0,0,0.3
ja_tedx_words,ja,manual-subtitle,mai_auto,27.8,1,ja,,12.1,252,206,346,6642,125,294,1.0,0,43,4.0
ja_tedx_words,ja,manual-subtitle,mai_clean,81.6,1,ja,,11.89,244,202,344,6642,123,289,0.3,0,43,4.0
ja_tedx_words,ja,manual-subtitle,mai_verbatim,59.6,1,ja,,13.07,251,198,419,6642,124,290,0.7,0,43,4.0
zh_mix_embodied,zh,manual-subtitle,local,96.6,0,zh,,18.08,419,1407,55,10406,305,401,0.2,1,0,1.6
zh_mix_embodied,zh,manual-subtitle,local_turbo,96.9,0,zh,,18.08,419,1407,55,10406,305,401,0.2,1,0,1.6
zh_mix_embodied,zh,manual-subtitle,mai_auto,44.7,1,zh,,3.33,123,107,117,10406,315,390,0.1,0,100,3.1
zh_mix_embodied,zh,manual-subtitle,mai_clean,39.6,1,zh,,3.22,119,103,113,10406,315,390,0.1,0,100,3.1
zh_mix_embodied,zh,manual-subtitle,mai_verbatim,41.8,1,zh,,4.14,126,71,234,10406,315,390,0.1,0,100,3.2
zh_tedx_emotion,zh,manual-subtitle,local,51.6,0,zh,,9.6,89,220,46,3697,159,474,1.1,0,0,2.2
