locale,key,value
en_US,app_title,"VideoLingo: Connecting Every Frame Across the World"
zh_CN,app_title,"VideoLingo: 连接世界的每一帧"
en_US,app_description,"Hello, thank you for visiting VideoLingo. This project is currently under construction. If you encounter any issues, please feel free to ask questions on Github! You can also visit our website: videolingo.io"
zh_CN,app_description,"👏 欢迎来到 VideoLingo. 目前该项目还在建设中，遇到任何问题可以在 Github 或 QQ 群提问！也可以访问我们的官网： videolingo.io"
en_US,translate_generate_subtitle,"Translate and Generate Subtitles"
zh_CN,translate_generate_subtitle,"翻译并生成字幕"
en_US,text_processing_steps,"This stage includes the following steps:"
zh_CN,text_processing_steps,"该阶段包括以下步骤："
en_US,step1,"1. WhisperX word-level transcription"
zh_CN,step1,"1. 使用 WhisperX 单词级转录"
en_US,step2,"2. Sentence segmentation using NLP and LLM"
zh_CN,step2,"2. 使用 NLP 和 LLM 分割句子"
en_US,step3,"3. Summarization and multi-step translation"
zh_CN,step3,"3. 总结提取术语和多步翻译"
en_US,step4,"4. Cutting and aligning long subtitles"
zh_CN,step4,"4. 二次切割长字幕并对齐"
en_US,step5,"5. Generating timeline and subtitles"
zh_CN,step5,"5. 生成时间轴和字幕"
en_US,step6,"6. Merging subtitles into the video"
zh_CN,step6,"6. 将字幕压制到视频中"
en_US,start_processing_subtitles,"Start Processing Subtitles"
zh_CN,start_processing_subtitles,"开始处理字幕"
en_US,linux_warning,"Currently, merging Chinese subtitles on Linux displays garbled characters. Please download the srt file and process it yourself."
zh_CN,linux_warning,"目前 Linux 下合并中文字幕展示乱码，请下载 srt 文件自行压制处理～"
en_US,subtitle_translation_complete,"Subtitle translation is complete! It's recommended to download the srt file and process it yourself."
zh_CN,subtitle_translation_complete,"字幕翻译已完成! 建议下载 srt 文件自行调整样式压制 ~"
en_US,download_all_subtitles,"Download All Subtitles"
zh_CN,download_all_subtitles,"下载所有字幕"
en_US,archive_to_history,"Archive to 'history'"
zh_CN,archive_to_history,"归档到`history`"
en_US,audio_dubbing_title,"Dubbing (beta)"
zh_CN,audio_dubbing_title,"配音(测试版)"
en_US,audio_processing_steps,"This stage includes the following steps:"
zh_CN,audio_processing_steps,"该阶段包括以下步骤："
en_US,audio_step1,"1. Generate audio tasks"
zh_CN,audio_step1,"1. 生成音频任务"
en_US,audio_step2,"2. UVR5 Process"
zh_CN,audio_step2,"2. UVR5 人声分离"
en_US,audio_step3,"3. Generate audio"
zh_CN,audio_step3,"3. 生成音频"
en_US,audio_step4,"4. Merge audio into the video"
zh_CN,audio_step4,"4. 将音频合并到视频中"
en_US,audio_processing_complete_emoji,"Audio processing complete! 🎇"
zh_CN,audio_processing_complete_emoji,"配音处理完成！🎇"
en_US,start_audio_processing,"Start Audio Processing"
zh_CN,start_audio_processing,"开始配音处理"
en_US,audio_processing_complete,"Audio processing is complete! You can check the audio files in the `output` folder."
zh_CN,audio_processing_complete,"配音处理已完成! 可以在 `output` 文件夹下查看音频文件 ~"
en_US,upload_video,"Upload Video"
zh_CN,upload_video,"上传视频"
en_US,download_or_upload_video,"Download or Upload Video"
zh_CN,download_or_upload_video,"下载或上传视频"
en_US,delete_and_reselect,"Delete and Reselect"
zh_CN,delete_and_reselect,"删除并重新选择"
en_US,enter_youtube_link,"Enter YouTube link:"
zh_CN,enter_youtube_link,"输入YouTube链接:"
en_US,download_video,"Download Video"
zh_CN,download_video,"下载视频"
en_US,downloading_video,"Downloading video..."
zh_CN,downloading_video,"正在下载视频..."
en_US,or_upload_video,"Or upload video"
zh_CN,or_upload_video,"或上传视频"
en_US,base_url_help,"No need to add v1 suffix, it will be automatically appended /v1/chat/completions"
zh_CN,base_url_help,"不需要添加 v1 后缀，会自动补充 /v1/chat/completions"
en_US,subtitle_settings,"Transcription and Subtitle Settings"
zh_CN,subtitle_settings,"转录与字幕设置"
en_US,whisper_method,"WhisperX Method:"
zh_CN,whisper_method,"WhisperX 方法："
en_US,whisper_language,"Recognition Language:"
zh_CN,whisper_language,"识别语言："
en_US,uvr_before_transcription,"UVR Voice Separation Before Transcription"
zh_CN,uvr_before_transcription,"转录前UVR人声分离"
en_US,uvr_before_transcription_help,"Please select this option when background music is noticeable. It's recommended to use with GPU acceleration, as it may consume a large amount of memory."
zh_CN,uvr_before_transcription_help,"请在BGM明显时选择，建议在有GPU加速时使用，可能占用大量内存"
en_US,replicate_api_token,"Replicate API Token:"
zh_CN,replicate_api_token,"Replicate API Token:"
en_US,replicate_api_token_help,"Used for calling whisperX api, get it from: https://replicate.com/account/api-tokens"
zh_CN,replicate_api_token_help,"调用whisperX api用，获取地址：https://replicate.com/account/api-tokens"
en_US,translation_target_language,"Translation Language:"
zh_CN,translation_target_language,"翻译目标语言："
en_US,translation_target_language_help,"Use natural language description, e.g.: Simplified Chinese, Traditional Chinese, English, Japanese"
zh_CN,translation_target_language_help,"使用自然语言描述即可，如：简体中文，繁体中文，English，日本語"
en_US,video_resolution,"Video Resolution:"
zh_CN,video_resolution,"压制分辨率："
en_US,include_video,"Include subtitles in video"
zh_CN,include_video,"压制字幕到视频"
en_US,remember_save_settings,"Remember to click the 'Save' button below"
en_US,unsaved_changes_warning,"There are unsaved changes! Double-click to save~"
zh_CN,unsaved_changes_warning,"有未保存的设置！多点两下保存~"
zh_CN,remember_save_settings,"记得点击下方的'保存设置'按钮"
en_US,save,"Save"
zh_CN,save,"保存"
en_US,verify,"Verify"
zh_CN,verify,"验证"
en_US,settings_updated,"Settings updated"
zh_CN,settings_updated,"设置已更新"
en_US,attempting_access,"Attempting to access..."
zh_CN,attempting_access,"正在尝试访问..."
en_US,verification_successful,"Verification successful"
zh_CN,verification_successful,"验证成功"
en_US,verification_failed,"Verification failed, please check if API_KEY and BASE_URL are correct"
zh_CN,verification_failed,"验证失败, 请检查 API_KEY 和 BASE_URL 是否正确"
en_US,access_failed,"Access failed"
zh_CN,access_failed,"访问失败"
en_US,llm_config,"LLM Configuration"
zh_CN,llm_config,"LLM 配置"
en_US,api_key_help,"Enter your API key here"
zh_CN,api_key_help,"在此输入您的 API 密钥"
en_US,download_all_subtitles,"Download all subtitle files"
zh_CN,download_all_subtitles,"下载所有字幕文件"
en_US,star_on_github,"Star on GitHub"
zh_CN,star_on_github,"去 GitHub 点个星星"
en_US,using_whisper_transcription,"Using Whisper for transcription..."
zh_CN,using_whisper_transcription,"使用Whisper进行转录..."
en_US,splitting_long_sentences,"Splitting long sentences..."
zh_CN,splitting_long_sentences,"分割长句..."
en_US,summarizing_and_translating,"Summarizing and translating..."
zh_CN,summarizing_and_translating,"总结和翻译..."
en_US,processing_aligning_subtitles,"Processing and aligning subtitles..."
zh_CN,processing_aligning_subtitles,"处理对齐字幕..."
en_US,merging_subtitles_to_video,"Merging subtitles to video..."
zh_CN,merging_subtitles_to_video,"合并字幕到视频..."
en_US,subtitle_processing_complete,"Subtitle processing complete! 🎉"
zh_CN,subtitle_processing_complete,"字幕处理完成! 🎉"
en_US,display_language,"Display Language"
zh_CN,display_language,"页面语言"
en_US,dubbing_settings,"Dubbing Settings"
zh_CN,dubbing_settings,"配音设置"
en_US,tts_method,"TTS Method"
zh_CN,tts_method,"TTS 方法"
en_US,openai_voice,"OpenAI Voice"
zh_CN,openai_voice,"OpenAI 语音"
en_US,fish_tts_api_key,"FishTTS API"
zh_CN,fish_tts_api_key,"FishTTS API"
en_US,fish_tts_character,"FishTTS Character"
zh_CN,fish_tts_character,"FishTTS 角色"
en_US,azure_key,"Azure Key"
zh_CN,azure_key,"Azure 密钥"
en_US,azure_region,"Azure Region"
zh_CN,azure_region,"Azure 区域"
en_US,azure_voice,"Azure Voice"
zh_CN,azure_voice,"Azure 语音"
en_US,original_volume,"Original Voice Volume"
zh_CN,original_volume,"原始人声音量"
en_US,mute,"Mute"
zh_CN,mute,"静音"
en_US,openai_tts_api_key,"OpenAI TTS API"
zh_CN,openai_tts_api_key,"OpenAI TTS API"
en_US,openai_tts_api_base_url,"Base URL"
zh_CN,openai_tts_api_base_url,"Base URL"
en_US,sovits_character,"GPT-SoVITS Character"
zh_CN,sovits_character,"GPT-SoVITS 角色"
en_US,refer_mode,"Reference Audio Mode"
zh_CN,refer_mode,"参考音频模式"
en_US,delete_dubbing_files,"Delete dubbing files"
zh_CN,delete_dubbing_files,"删除此步配音文件"
