locale,key,value
en_US,app_title,"VideoLingo: Connecting Every Frame Across the World"
zh_CN,app_title,"VideoLingo: 连接世界的每一帧"
ja_JP,app_title,"VideoLingo: 世界中のフレームをつなぐ"
en_US,app_description,"Hello, thank you for visiting VideoLingo. This project is currently under construction. If you encounter any issues, please feel free to ask questions on Github or in the QQ group! We will present more features in the near future. Thank you for your understanding!"
zh_CN,app_description,"哈喽，感谢访问 VideoLingo. 目前该项目还在建设中，遇到任何问题可以在 Github 或 QQ 群提问！我们将在不久的未来呈现更多功能，感谢理解！"
ja_JP,app_description,"こんにちは、VideoLingoをご利用いただきありがとうございます。現在このプロジェクトは開発中です。問題が発生した場合は、GithubやQQグループでお気軽にお問い合わせください！近い将来、さらに多くの機能を提供する予定です。ご理解いただきありがとうございます！"
en_US,translate_generate_subtitle,"Translate and Generate Subtitles"
zh_CN,translate_generate_subtitle,"翻译并生成字幕"
ja_JP,translate_generate_subtitle,"字幕の翻訳と生成"
en_US,text_processing_steps,"This stage includes the following steps:"
zh_CN,text_processing_steps,"该阶段包括以下步骤："
ja_JP,text_processing_steps,"このステージには以下の手順が含まれます："
en_US,step1,"1. Whisper word-level transcription"
zh_CN,step1,"1. Whisper 单词级转录"
ja_JP,step1,"1. Whisperによる単語レベルの文字起こし"
en_US,step2,"2. Sentence segmentation using Spacy and Claude"
zh_CN,step2,"2. Spacy 和 Claude 分割句子"
ja_JP,step2,"2. SpacyとClaudeを使用した文の分割"
en_US,step3,"3. Summarization and multi-step translation"
zh_CN,step3,"3. 总结和多步翻译"
ja_JP,step3,"3. 要約と多段階翻訳"
en_US,step4,"4. Cutting and aligning long subtitles"
zh_CN,step4,"4. 切割对齐长字幕"
ja_JP,step4,"4. 長い字幕の切り取りと整列"
en_US,step5,"5. Generating timeline and subtitles"
zh_CN,step5,"5. 生成时间轴和字幕"
ja_JP,step5,"5. タイムラインと字幕の生成"
en_US,step6,"6. Merging subtitles into the video"
zh_CN,step6,"6. 将字幕合并到视频中"
ja_JP,step6,"6. 字幕を動画に合成"
en_US,start_processing_subtitles,"Start Processing Subtitles"
zh_CN,start_processing_subtitles,"开始处理字幕"
ja_JP,start_processing_subtitles,"字幕処理を開始"
en_US,linux_warning,"Currently, merging Chinese subtitles on Linux displays garbled characters. Please download the srt file and process it yourself."
zh_CN,linux_warning,"目前 Linux 下合并中文字幕展示乱码，请下载 srt 文件自行压制处理～"
ja_JP,linux_warning,"現在、Linuxで中国語字幕を合成すると文字化けが発生します。srtファイルをダウンロードして自分で処理してください。"
en_US,subtitle_translation_complete,"Subtitle translation is complete! It's recommended to download the srt file and process it yourself."
zh_CN,subtitle_translation_complete,"字幕翻译已完成! 建议下载 srt 文件自行压制 ~"
ja_JP,subtitle_translation_complete,"字幕翻訳が完了しました！srtファイルをダウンロードして自分で処理することをお勧めします。"
en_US,download_all_subtitles,"Download All Subtitles"
zh_CN,download_all_subtitles,"下载所有字幕"
ja_JP,download_all_subtitles,"すべての字幕をダウンロード"
en_US,archive_to_history,"Archive to 'history' folder"
zh_CN,archive_to_history,"归档到`history`文件夹"
ja_JP,archive_to_history,"`history`フォルダにアーカイブ"
en_US,audio_dubbing_title,"GPT-SoVits Dubbing (beta under development)"
zh_CN,audio_dubbing_title,"GPT-SoVits 配音(beta 开发完善中)"
ja_JP,audio_dubbing_title,"GPT-SoVits 吹き替え（ベータ版開発中）"
en_US,audio_processing_steps,"This stage includes the following steps:"
zh_CN,audio_processing_steps,"该阶段包括以下步骤："
ja_JP,audio_processing_steps,"このステージには以下の手順が含まれます："
en_US,audio_step1,"1. Extract reference audio"
zh_CN,audio_step1,"1. 提取参考音频"
ja_JP,audio_step1,"1. 参照音声の抽出"
en_US,audio_step2,"2. Generate audio tasks"
zh_CN,audio_step2,"2. 生成音频任务"
ja_JP,audio_step2,"2. 音声タスクの生成"
en_US,audio_step3,"3. Use SoVITS to generate audio"
zh_CN,audio_step3,"3. 使用SoVITS生成音频"
ja_JP,audio_step3,"3. SoVITSを使用して音声を生成"
en_US,audio_step4,"4. Merge audio into the video"
zh_CN,audio_step4,"4. 将音频合并到视频中"
ja_JP,audio_step4,"4. 音声を動画に合成"
en_US,start_audio_processing,"Start Audio Processing"
zh_CN,start_audio_processing,"开始配音处理"
ja_JP,start_audio_processing,"音声処理を開始"
en_US,audio_processing_complete,"Audio processing is complete! You can check the audio files in the `output` folder."
zh_CN,audio_processing_complete,"配音处理已完成! 可以在`output`文件夹下查看音频文件 ~"
ja_JP,audio_processing_complete,"音声処理が完了しました！`output`フォルダで音声ファイルを確認できます。"
en_US,dubbing_feature_warning,"The dubbing feature is still under development and temporarily disabled. Thank you for your understanding!"
zh_CN,dubbing_feature_warning,"配音功能仍在开发中，暂已停用，感谢理解！"
ja_JP,dubbing_feature_warning,"吹き替え機能はまだ開発中で一時的に無効化されています。ご理解いただきありがとうございます！"
en_US,upload_video,"Upload Video"
zh_CN,upload_video,"上传视频"
ja_JP,upload_video,"動画をアップロード"
en_US,download_or_upload_video,"Download or Upload Video"
zh_CN,download_or_upload_video,"下载或上传视频"
ja_JP,download_or_upload_video,"動画のダウンロードまたはアップロード"
en_US,delete_and_reselect,"Delete and Reselect"
zh_CN,delete_and_reselect,"删除并重新选择"
ja_JP,delete_and_reselect,"削除して再選択"
en_US,enter_youtube_link,"Enter YouTube link:"
zh_CN,enter_youtube_link,"输入YouTube链接:"
ja_JP,enter_youtube_link,"YouTubeリンクを入力:"
en_US,download_video,"Download Video"
zh_CN,download_video,"下载视频"
ja_JP,download_video,"動画をダウンロード"
en_US,downloading_video,"Downloading video..."
zh_CN,downloading_video,"正在下载视频..."
ja_JP,downloading_video,"動画をダウンロード中..."
en_US,or_upload_video,"Or upload video (recommended <40min)"
zh_CN,or_upload_video,"或上传视频 建议<40min"
ja_JP,or_upload_video,"または動画をアップロード（推奨40分未満）"
n_US,api_key_help,"Please ensure the API_KEY supports claude-3-5-sonnet-20240620"
zh_CN,api_key_help,"请确保 API_KEY 支持 claude-3-5-sonnet-20240620"
ja_JP,api_key_help,"API_KEYがclaude-3-5-sonnet-20240620をサポートしていることを確認してください"
en_US,base_url_help,"No need to add v1 suffix, it will be automatically appended /v1/chat/completions"
zh_CN,base_url_help,"不需要添加 v1 后缀，会自动补充 /v1/chat/completions"
ja_JP,base_url_help,"v1サフィックスを追加する必要はありません。自動的に /v1/chat/completions が追加されます"
en_US,subtitle_settings,"Subtitle Settings"
zh_CN,subtitle_settings,"字幕设置"
ja_JP,subtitle_settings,"字幕設定"
en_US,whisper_method,"Whisper Method:"
zh_CN,whisper_method,"Whisper 方法："
ja_JP,whisper_method,"Whisper 方式："
en_US,replicate_api_token,"Replicate API Token:"
zh_CN,replicate_api_token,"Replicate API Token:"
ja_JP,replicate_api_token,"Replicate API トークン："
en_US,replicate_api_token_help,"Used for calling whisperX api, get it from: https://replicate.com/account/api-tokens"
zh_CN,replicate_api_token_help,"调用whisperX api用，获取地址：https://replicate.com/account/api-tokens"
ja_JP,replicate_api_token_help,"whisperX APIを呼び出すために使用します。取得先：https://replicate.com/account/api-tokens"
en_US,whisper_recognition_language,"Whisper Recognition Language:"
zh_CN,whisper_recognition_language,"Whisper识别语言："
ja_JP,whisper_recognition_language,"Whisper認識言語："
en_US,whisper_recognition_language_help,"'auto' for automatic recognition, 'en' to force English recognition or transcription"
zh_CN,whisper_recognition_language_help,"auto 为自动识别，en 为强制指定识别或转译"
ja_JP,whisper_recognition_language_help,"'auto'は自動認識、'en'は英語の認識または転写を強制します"
en_US,translation_target_language,"Translation Target Language:"
zh_CN,translation_target_language,"翻译目标语言："
ja_JP,translation_target_language,"翻訳対象言語："
en_US,translation_target_language_help,"Use natural language description, e.g.: Simplified Chinese, Traditional Chinese, English, Japanese"
zh_CN,translation_target_language_help,"使用自然语言描述即可，如：简体中文，繁体中文，English，日本語"
ja_JP,translation_target_language_help,"自然言語で記述してください。例：簡体字中国語、繁体字中国語、English、日本語"
en_US,subtitle_line_length_settings,"Subtitle Line Length Settings:"
zh_CN,subtitle_line_length_settings,"字幕行长度设置："
ja_JP,subtitle_line_length_settings,"字幕行の長さ設定："
en_US,max_characters_per_line,"Maximum Characters Per Line:"
zh_CN,max_characters_per_line,"单行最大字符数："
ja_JP,max_characters_per_line,"1行あたりの最大文字数："
en_US,max_characters_per_line_help,"Maximum number of characters per line of subtitles, calculated based on English. For Chinese, it will be automatically multiplied by 1.75. Default is 80"
zh_CN,max_characters_per_line_help,"每一行字幕的最大字符数，按照英文计算，中文会自动乘以1.75，默认 80"
ja_JP,max_characters_per_line_help,"字幕の1行あたりの最大文字数。英語を基準に計算され、中国語の場合は自動的に1.75倍になります。デフォルトは80です"
en_US,translation_length_multiplier,"Translation Length Multiplier:"
zh_CN,translation_length_multiplier,"翻译长度倍数："
ja_JP,translation_length_multiplier,"翻訳長さの倍率："
en_US,translation_length_multiplier_help,"Considering the audience, translated subtitles are usually larger than the original language. Default is set to 1.5 times the length"
zh_CN,translation_length_multiplier_help,"考虑到受众，翻译字幕一般比原语言字号大，默认设置为长度上的1.5倍"
ja_JP,translation_length_multiplier_help,"視聴者を考慮し、翻訳字幕は通常原語の字幕より大きくなります。デフォルトでは長さの1.5倍に設定されています"
en_US,video_resolution,"Video Resolution:"
zh_CN,video_resolution,"压制视频分辨率："
ja_JP,video_resolution,"ビデオ解像度："
en_US,remember_save_settings,"Remember to click the 'Save' button below"
zh_CN,remember_save_settings,"记得点击下方的'保存设置'按钮"
ja_JP,remember_save_settings,"下の'保存'ボタンをクリックすることを忘れないでください"
en_US,save,"Save"
zh_CN,save,"保存"
ja_JP,save,"保存"
en_US,verify,"Verify"
zh_CN,verify,"验证"
ja_JP,verify,"検証"
en_US,settings_updated,"Settings updated"
zh_CN,settings_updated,"设置已更新"
